,Date,ItemsSold
0,2014-01-01,48
1,2014-01-02,55
2,2014-01-03,46
3,2014-01-04,39
4,2014-01-05,59
5,2014-01-06,60
6,2014-01-07,68
7,2014-01-08,49
8,2014-01-09,45
9,2014-01-10,26
10,2014-01-11,57
11,2014-01-12,54
12,2014-01-13,42
13,2014-01-14,59
14,2014-01-15,28
15,2014-01-16,41
16,2014-01-17,47
17,2014-01-18,53
18,2014-01-19,50
19,2014-01-20,56
20,2014-01-21,59
21,2014-01-22,38
22,2014-01-23,63
23,2014-01-24,42
24,2014-01-25,44
25,2014-01-26,29
26,2014-01-27,46
27,2014-01-28,64
28,2014-01-29,35
29,2014-01-30,61
30,2014-01-31,64
31,2014-02-01,62
32,2014-02-02,44
33,2014-02-03,61
34,2014-02-04,63
35,2014-02-05,40
36,2014-02-06,46
37,2014-02-07,41
38,2014-02-08,45
39,2014-02-09,49
40,2014-02-10,37
41,2014-02-11,39
42,2014-02-12,44
43,2014-02-13,49
44,2014-02-14,58
45,2014-02-15,53
46,2014-02-16,56
47,2014-02-17,59
48,2014-02-18,58
49,2014-02-19,42
50,2014-02-20,50
51,2014-02-21,47
52,2014-02-22,64
53,2014-02-23,42
54,2014-02-24,63
55,2014-02-25,49
56,2014-02-26,70
57,2014-02-27,58
58,2014-02-28,48
59,2014-03-01,54
60,2014-03-02,64
61,2014-03-03,51
62,2014-03-04,64
63,2014-03-05,36
64,2014-03-06,43
65,2014-03-07,35
66,2014-03-08,47
67,2014-03-09,30
68,2014-03-10,33
69,2014-03-11,54
70,2014-03-12,45
71,2014-03-13,44
72,2014-03-14,43
73,2014-03-15,45
74,2014-03-16,46
75,2014-03-17,44
76,2014-03-18,43
77,2014-03-19,34
78,2014-03-20,42
79,2014-03-21,55
80,2014-03-22,36
81,2014-03-23,35
82,2014-03-24,51
83,2014-03-25,48
84,2014-03-26,42
85,2014-03-27,50
86,2014-03-28,59
87,2014-03-29,45
88,2014-03-30,47
89,2014-03-31,46
90,2014-04-01,64
91,2014-04-02,63
92,2014-04-03,82
93,2014-04-04,56
94,2014-04-05,53
95,2014-04-06,43
96,2014-04-07,46
97,2014-04-08,56
98,2014-04-09,29
99,2014-04-10,30
100,2014-04-11,35
101,2014-04-12,65
102,2014-04-13,74
103,2014-04-14,41
104,2014-04-15,63
105,2014-04-16,59
106,2014-04-17,65
107,2014-04-18,45
108,2014-04-19,59
109,2014-04-20,42
110,2014-04-21,48
111,2014-04-22,58
112,2014-04-23,52
113,2014-04-24,65
114,2014-04-25,54
115,2014-04-26,36
116,2014-04-27,50
117,2014-04-28,38
118,2014-04-29,32
119,2014-04-30,58
120,2014-05-01,44
121,2014-05-02,58
122,2014-05-03,50
123,2014-05-04,45
124,2014-05-05,42
125,2014-05-06,54
126,2014-05-07,44
127,2014-05-08,64
128,2014-05-09,58
129,2014-05-10,41
130,2014-05-11,43
131,2014-05-12,45
132,2014-05-13,63
133,2014-05-14,51
134,2014-05-15,60
135,2014-05-16,30
136,2014-05-17,46
137,2014-05-18,52
138,2014-05-19,55
139,2014-05-20,52
140,2014-05-21,35
141,2014-05-22,42
142,2014-05-23,55
143,2014-05-24,46
144,2014-05-25,62
145,2014-05-26,54
146,2014-05-27,48
147,2014-05-28,53
148,2014-05-29,72
149,2014-05-30,76
150,2014-05-31,75
151,2014-06-01,32
152,2014-06-02,63
153,2014-06-03,59
154,2014-06-04,46
155,2014-06-05,45
156,2014-06-06,77
157,2014-06-07,68
158,2014-06-08,53
159,2014-06-09,47
160,2014-06-10,55
161,2014-06-11,54
162,2014-06-12,50
163,2014-06-13,67
164,2014-06-14,60
165,2014-06-15,40
166,2014-06-16,52
167,2014-06-17,34
168,2014-06-18,40
169,2014-06-19,56
170,2014-06-20,61
171,2014-06-21,49
172,2014-06-22,70
173,2014-06-23,45
174,2014-06-24,54
175,2014-06-25,54
176,2014-06-26,65
177,2014-06-27,54
178,2014-06-28,48
179,2014-06-29,26
180,2014-06-30,46
181,2014-07-01,33
182,2014-07-02,63
183,2014-07-03,35
184,2014-07-04,24
185,2014-07-05,54
186,2014-07-06,57
187,2014-07-07,78
188,2014-07-08,47
189,2014-07-09,53
190,2014-07-10,48
191,2014-07-11,39
192,2014-07-12,66
193,2014-07-13,65
194,2014-07-14,45
195,2014-07-15,44
196,2014-07-16,36
197,2014-07-17,59
198,2014-07-18,53
199,2014-07-19,41
