,Date,ItemsSold
200,2014-07-20,56
201,2014-07-21,64
202,2014-07-22,60
203,2014-07-23,59
204,2014-07-24,34
205,2014-07-25,44
206,2014-07-26,63
207,2014-07-27,47
208,2014-07-28,53
209,2014-07-29,45
210,2014-07-30,54
211,2014-07-31,57
212,2014-08-01,49
213,2014-08-02,67
214,2014-08-03,45
215,2014-08-04,50
216,2014-08-05,48
217,2014-08-06,36
218,2014-08-07,52
219,2014-08-08,38
220,2014-08-09,50
221,2014-08-10,64
222,2014-08-11,72
223,2014-08-12,51
224,2014-08-13,48
225,2014-08-14,67
226,2014-08-15,39
227,2014-08-16,61
228,2014-08-17,60
229,2014-08-18,40
230,2014-08-19,48
231,2014-08-20,46
232,2014-08-21,48
233,2014-08-22,52
234,2014-08-23,40
235,2014-08-24,43
236,2014-08-25,47
237,2014-08-26,59
238,2014-08-27,44
239,2014-08-28,88
240,2014-08-29,34
241,2014-08-30,42
242,2014-08-31,47
243,2014-09-01,64
244,2014-09-02,63
245,2014-09-03,57
246,2014-09-04,63
247,2014-09-05,55
248,2014-09-06,59
249,2014-09-07,65
250,2014-09-08,44
251,2014-09-09,47
252,2014-09-10,51
253,2014-09-11,52
254,2014-09-12,42
255,2014-09-13,44
256,2014-09-14,39
257,2014-09-15,26
258,2014-09-16,46
259,2014-09-17,36
260,2014-09-18,39
261,2014-09-19,40
262,2014-09-20,49
263,2014-09-21,76
264,2014-09-22,35
265,2014-09-23,29
266,2014-09-24,66
267,2014-09-25,45
268,2014-09-26,62
269,2014-09-27,39
270,2014-09-28,55
271,2014-09-29,35
272,2014-09-30,49
273,2014-10-01,60
274,2014-10-02,42
275,2014-10-03,42
276,2014-10-04,45
277,2014-10-05,47
278,2014-10-06,44
279,2014-10-07,52
280,2014-10-08,51
281,2014-10-09,50
282,2014-10-10,49
283,2014-10-11,67
284,2014-10-12,58
285,2014-10-13,66
286,2014-10-14,60
287,2014-10-15,34
288,2014-10-16,42
289,2014-10-17,46
290,2014-10-18,53
291,2014-10-19,54
292,2014-10-20,49
293,2014-10-21,37
294,2014-10-22,59
295,2014-10-23,51
296,2014-10-24,36
297,2014-10-25,53
298,2014-10-26,51
299,2014-10-27,79
300,2014-10-28,40
301,2014-10-29,50
302,2014-10-30,67
303,2014-10-31,57
304,2014-11-01,33
305,2014-11-02,50
306,2014-11-03,48
307,2014-11-04,38
308,2014-11-05,80
309,2014-11-06,28
310,2014-11-07,67
311,2014-11-08,45
312,2014-11-09,47
313,2014-11-10,73
314,2014-11-11,46
315,2014-11-12,35
316,2014-11-13,66
317,2014-11-14,54
318,2014-11-15,52
319,2014-11-16,34
320,2014-11-17,44
321,2014-11-18,42
322,2014-11-19,45
323,2014-11-20,58
324,2014-11-21,47
325,2014-11-22,68
326,2014-11-23,35
327,2014-11-24,50
328,2014-11-25,40
329,2014-11-26,55
330,2014-11-27,55
331,2014-11-28,41
332,2014-11-29,47
333,2014-11-30,46
334,2014-12-01,40
335,2014-12-02,49
336,2014-12-03,60
337,2014-12-04,34
338,2014-12-05,39
339,2014-12-06,57
340,2014-12-07,28
341,2014-12-08,43
342,2014-12-09,35
343,2014-12-10,64
344,2014-12-11,59
345,2014-12-12,50
346,2014-12-13,57
347,2014-12-14,53
348,2014-12-15,48
349,2014-12-16,67
350,2014-12-17,47
351,2014-12-18,51
352,2014-12-19,62
353,2014-12-20,33
354,2014-12-21,38
355,2014-12-22,37
356,2014-12-23,63
357,2014-12-24,63
358,2014-12-25,61
359,2014-12-26,62
360,2014-12-27,40
361,2014-12-28,39
362,2014-12-29,48
363,2014-12-30,46
364,2014-12-31,0
